code,descripcion,costo,precio1,precio2,precio3,precio4,precio5
77910103,LA YAPA ,"0,7",0,0,0,0,0
77910158,DERBY SUAVES,23,0,0,0,0,0
77910172,KOOL ,"5,3",0,0,0,0,0
77910189,KOOL BOX 20,"8,8",0,0,0,0,0
77910318,43/70 CORTO,130,0,0,0,0,0
77910325,PARISIENNES KS,147,0,0,0,0,0
77910400,ALFAJOR DE ARROZ LULE MUU,71,0,0,0,0,0
77910431,43/70 LARGO,115,0,0,0,0,0
77910455,VICEROY KS,40,0,0,0,0,0
77910509,ALFAJOR DE ARROZ LULEMUU,71,0,0,0,0,0
77910516,ALFAJOR LULEMUU,71,0,0,0,0,0
77910585,GITANES BOX,138,0,0,0,0,0
77910592,VICEROY CLASSIC 10,"2,15",0,0,0,0,0
77910622,VICEROY SUAVE,40,0,0,0,0,0
77910646,LUKI STRYKE 10 BOX,"2,78",0,0,0,0,0
77910660,RICHMOND ,65,0,0,0,0,0
77910868,DERBY KS 10,"2,65",0,0,0,0,0
77910905,GOLD LEAF BOX,138,0,0,0,0,0
77910943,PARISIENES X 10,65,0,0,0,0,0
77910950,PARISIENNES BOX,150,0,0,0,0,0
77910967,DERBY KS,40,0,0,0,0,0
77911018,TURIMAR TRIPLE LECHE X60G,81,0,0,0,0,0
77911759,TERRABUSI FRUT C/ CREMA,"0,6",0,0,0,0,0
77911766,TERRABUSI LEMON PIE X 24,"0,6023",0,0,0,0,0
77911803,WILTON K S,"34,5",0,0,0,0,0
77912015,L M LIGHTS COMUN ,"2,77",0,0,0,0,0
77912268,ALFAJOR MOGY,105,0,0,0,0,0
77912343,BARRITA FELFORT BLANCA X 25G,"3,73",0,0,0,0,0
77912404,LYM BOX 10,"1,488",0,0,0,0,0
77912688,0,"0,5004",0,0,0,0,0
77912749,0,"0,5004",0,0,0,0,0
77912756,0,"0,5004",0,0,0,0,0
77912824,NEXT KS 20,33,0,0,0,0,0
77912879,PHILIP MORRIS KS,1540,0,0,0,0,0
77912930,NEXT BOX 10,21,0,0,0,0,0
77912954,PHILIP MORRIS BOX 20,1770,0,0,0,0,0
77913258,NEXT BOX 20,37,0,0,0,0,0
77913302,BARRITA FELFORT ,"3,15",0,0,0,0,0
77913357,TORRONCINO X 23GR,12,0,0,0,0,0
77913395,STANI MIEL-MENTA X 15,"0,4226",0,0,0,0,0
77913418,PHILIP MORRIS 10,360,0,0,0,0,0
77913630,STANI MIEL CON MENTA ,"0,57",0,0,0,0,0
77914217,CHOCOLATE SHOT X 35 G,218,0,0,0,0,0
77914798,GRAN VALLE CORDOBES ,"1,15",0,0,0,0,0
77915405,MILKA TRIPLE ALMENDRA,"0,82",0,0,0,0,0
77915412,TERRABUSI GRANIZADO X 67GRS,"0,6228",0,0,0,0,0
77915481,ALFAJOR PEPITOS,640,0,0,0,0,0
77915559,ALFAJOR GRANDOTE X 38G,10,0,0,0,0,0
77915597,GRANDOTE,10,0,0,0,0,0
77915627,BENSON ,163,0,0,0,0,0
77915818,CEREAL MIX X 4 U.,9,0,0,0,0,0
77915979,NEXT MILD TASTE ,"2,418",0,0,0,0,0
77916006,LE MANS SUAVE CORTO ,43,0,0,0,0,0
77916013,LEGER X25GR,"2,5",0,0,0,0,0
77916020,MILKA LEGERX25GRS,"2,3",0,0,0,0,0
77916044,LEGER X25GR,"1,9",0,0,0,0,0
77916105,LEGER X45GR,"5,2",0,0,0,0,0
77916112,MILKA LEGER X45GRS,"4,8",0,0,0,0,0
77916129,MILKA LEGER COMBINADO X45G,"6,1",0,0,0,0,0
77916136,MILKA-LEGER BLANCO X45GR,"5,2",0,0,0,0,0
77916198,LE MANS SUAVE LARGO ,45,0,0,0,0,0
77916273,LE MANS 10 ,"7,4",0,0,0,0,0
77916389,TOP LINE X UN.,10,0,0,0,0,0
77916396,TOP LINE X UN.,10,0,0,0,0,0
77916419,TOP LINE DEF3NSE XUN.,"5,5",0,0,0,0,0
77916426,TOP LINE X UN.,33,0,0,0,0,0
77916433,MARLBORO COMUN 20,1770,0,0,0,0,0
77916457,TOP LINE X UN.,"1,45",0,0,0,0,0
77916495,ALF.OREO TRIPLE X55G,278,0,0,0,0,0
77916501,CEREAL MIX ,18,0,0,0,0,0
77916679,FLORICIENTA X 3,"0,4769",0,0,0,0,0
77917157,MINYO TRIPLE,29,0,0,0,0,0
